Местное время в Иркутске (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
25.02.2017 11:00;-5.6;720.9;768.1;;94;Ветер, дующий с востока;2;;;50%.; ;;;;;;;;;;;-6.4;;;;;;
25.02.2017 17:00;03.мар;717.7;763.2;;61;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;;;;;;;-3.5;;;;;;
25.02.2017 23:00;-4.1;719.3;766.2;;86;Ветер, дующий с юга;3;;;100%.; ;;;;;;;;;;;-6.2;;;;;;
26.02.2017 5:00;-7.8;719.8;767.4;;93;Штиль, безветрие;0;;;100%.; ;;;;;;;;;;;-8.7;;;;;;
26.02.2017 11:00;-7.6;720.5;768.1;;91;Штиль, безветрие;0;;;50%.; ;;;;;;;;;;;-8.8;;;;;;
26.02.2017 17:00;02.июн;718.7;764.4;;33;Ветер, дующий с запада;1;;;100%.; ;;;;;;;;;;;-12.2;;;;;;
26.02.2017 23:00;-3.3;719.8;766.6;;55;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;;;;;;;-11.1;;;;;;
27.02.2017 11:00;-4.8;724.3;771.6;;80;Ветер, дующий с северо-запада;7;;;100%.; ;;;;;;50%.;;;;;-7.7;;;;;;
27.02.2017 17:00;-4.6;725.2;772.6;;60;Ветер, дующий с западо-северо-запада;6;;;100%.; ;;;;;;10%  или менее, но не 0;;;;;-11.3;;;;;;
27.02.2017 23:00;-9.8;727.1;775.6;;70;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;;;;;;;-14.3;;;;;;
28.02.2017 5:00;-17.4;728.9;778.9;;85;Ветер, дующий с востока;2;;;100%.; ;;;;;;;;;;;-19.3;;;;;;
28.02.2017 11:00;-12.7;730.2;779.4;;88;Штиль, безветрие;0;;;100%.; ;;;;;;;;;;;-14.3;;;;;;
28.02.2017 17:00;-6.2;728.1;775.9;;51;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;;;;;;;-14.8;;;;;;
28.02.2017 23:00;-10.2;726.4;775.0;;69;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;;20–30%.;;;;;-14.9;;;;;;
01.03.2017 5:00;-10.0;723.0;771.2;;81;Ветер, дующий с востока;2;;;100%.; ;;;;;;;;;;;-12.7;;;;;;
01.03.2017 11:00;-6.3;720.1;767.5;;69;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;;;;;;;-11.2;;;;;;
01.03.2017 17:00;03.янв;717.8;763.3;;50;Ветер, дующий с севера;4;;;100%.; ;;;;;;;;;;;-6.5;;;;;;
01.03.2017 23:00;-1.4;719.2;765.5;;78;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;;40%.;;;;;-4.8;;;;;;
02.03.2017 11:00;-2.7;718.5;765.1;;88;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;;;50%.;;;;;-4.5;;;;;;
02.03.2017 17:00;0.2;716.2;762.1;;71;Ветер, дующий с востока;2;;;100%.; ;;;;;;;;;;;-4.5;;;;;;
02.03.2017 23:00;-2.7;715.8;762.1;;94;Ветер, дующий с востока;1;;;100%.; ;;;;;;20–30%.;;;;;-3.5;;;;;;
03.03.2017 17:00;-2.4;721.9;768.6;;56;Ветер, дующий с северо-северо-запада;9;;;100%.; ;;;;;;50%.;;;;;-10.0;;;;;;
03.03.2017 23:00;-7.4;724.9;772.7;;73;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;;;;;;-11.5;;;;;;
04.03.2017 5:00;-12.7;725.8;774.7;;86;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;;;;;;;-14.6;;;;;;
04.03.2017 17:00;-3.7;727.2;774.5;;78;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;50%.;;;;;-7.0;;;;;;
06.03.2017 11:00;-3.5;730.1;777.6;;81;Ветер, дующий с востока;1;;;100%.; ;;;;;;40%.;;;;;-6.3;;;;;;
06.03.2017 17:00;-1.4;729.7;776.8;;63;Ветер, дующий с северо-востока;3;;;100%.; ;;;;;;50%.;;;;;-7.6;;;;;;
06.03.2017 23:00;-2.6;730.3;777.6;;73;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;;50%.;;;;;-6.9;;;;;;
07.03.2017 5:00;-12.7;730.3;779.5;;86;Ветер, дующий с востока;4;;;100%.; ;;;;;;20–30%.;;;;;-14.6;;;;;;
07.03.2017 11:00;-7.8;730.3;778.6;;67;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-12.9;;;;;;
07.03.2017 17:00;2.0;727.6;774.0;;50;Ветер, дующий с севера;1;;;20–30%.; ;;;;;;;;;;;-7.4;;;;;;
07.03.2017 23:00;-7.0;725.9;773.8;;86;Ветер, дующий с юга;1;;;20–30%.; ;;;;;;;;;;;-9.0;;;;;;
08.03.2017 5:00;-11.0;722.8;771.2;;91;Ветер, дующий с востока;3;;;20–30%.; ;;;;;;;;;;;-12.2;;;;;;
08.03.2017 11:00;-4.5;720.8;767.8;;71;Ветер, дующий с юго-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;;-9.1;;;;;;
08.03.2017 17:00;0.4;718.3;764.3;;58;Ветер, дующий с юга;4;;;Облаков нет.; ;;;;;;;;;;;-7.1;;;;;;
08.03.2017 23:00;-10.6;718.1;766.1;;80;Ветер, дующий с юга;2;;;50%.; ;;;;;;;;;;;-13.4;;;;;;
09.03.2017 5:00;-12.3;717.5;765.8;;91;Ветер, дующий с востока;2;;;50%.; ;;;;;;;;;;;-13.5;;;;;;
09.03.2017 11:00;-8.1;717.4;764.9;;84;Штиль, безветрие;0;;;70 – 80%.; ;;;;;;;;;;;-10.4;;;;;;
09.03.2017 17:00;0.1;715.3;761.1;;64;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;;;;;;-6.0;;;;;;
10.03.2017 5:00;-4.1;720.8;767.8;;75;Ветер, дующий с северо-запада;10;;;100%.; ;;;;;;40%.;;;;;-7.9;;;;;;
10.03.2017 11:00;-6.2;725.8;773.5;;61;Ветер, дующий с северо-запада;10;;;100%.; ;;;;;;40%.;;;;;-12.6;;;;;;
10.03.2017 17:00;-6.3;726.5;774.3;;52;Ветер, дующий с северо-запада;6;;;70 – 80%.; ;;;;;;;;;;;-14.6;;;;;;
10.03.2017 23:00;-12.7;727.7;776.8;;65;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-17.9;;;;;;
11.03.2017 5:00;-17.8;727.6;777.6;;80;Ветер, дующий с востока;2;;;100%.; ;;;;;;;;;;;-20.5;;;;;;
11.03.2017 11:00;-8.7;727.9;776.2;;54;Штиль, безветрие;0;;;60%.; ;;;;;;;;;;;-16.5;;;;;;
11.03.2017 17:00;02.май;725.8;771.9;;27;Ветер, дующий с востоко-юго-востока;1;;;60%.; ;;;;;;;;;;;-14.7;;;;;;
11.03.2017 23:00;-6.3;725.6;773.3;;56;Ветер, дующий с востоко-юго-востока;1;;;60%.; ;;;;;;;;;;;-13.7;;;;;;
12.03.2017 5:00;-12.1;726.4;775.3;;73;Ветер, дующий с востока;2;;;60%.; ;;;;;;;;;;;-16.0;;;;;;
12.03.2017 11:00;-6.2;728.1;775.9;;58;Ветер, дующий с северо-запада;1;;;70 – 80%.; ;;;;;;;;;;;-13.2;;;;;;
12.03.2017 17:00;03.мар;727.0;773.0;;30;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;;;;;;-12.9;;;;;;
12.03.2017 23:00;-4.2;726.8;774.2;;55;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;;;;;;;-12.1;;;;;;
13.03.2017 5:00;-8.4;725.2;773.3;;62;Ветер, дующий с востока;2;;;100%.; ;;;;;;;;;;;-14.5;;;;;;
13.03.2017 11:00;-3.8;724.6;771.7;;60;Ветер, дующий с юго-запада;1;;;20–30%.; ;;;;;;;;;;;-10.5;;;;;;
13.03.2017 17:00;05.сен;720.7;766.0;;33;Ветер, дующий с северо-северо-востока;3;;;Облаков нет.; ;;;;;;;;;;;-9.3;;;;;;
13.03.2017 23:00;-3.3;721.0;767.8;;53;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-11.5;;;;;;
14.03.2017 5:00;-9.0;721.3;769.2;;78;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;-12.2;;;;;;
14.03.2017 11:00;-3.1;722.7;769.6;;62;Штиль, безветрие;0;;;20–30%.; ;;;;;;;;;;;-9.5;;;;;;
14.03.2017 17:00;08.июл;720.2;764.9;;26;Ветер, дующий с востоко-юго-востока;1;;;50%.; ;;;;;;;;;;;-9.8;;;;;;
14.03.2017 23:00;-1.2;720.7;767.2;;51;Ветер, дующий с востока;3;;;60%.; ;;;;;;;;;;;-10.2;;;;;;
15.03.2017 5:00;-6.6;719.8;767.2;;63;Ветер, дующий с востока;2;;;50%.; ;;;;;;;;;;;-12.5;;;;;;
15.03.2017 11:00;01.фев;719.2;765.1;;53;Ветер, дующий с юга;3;;;20–30%.; ;;;;;;;;;;;-7.4;;;;;;
15.03.2017 17:00;6.0;715.9;760.7;;48;Ветер, дующий с юго-юго-запада;3;;;40%.; ;;;;;;;;;;;-4.3;;;;;;
15.03.2017 23:00;-2.4;716.1;762.4;;63;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;;;;;;;-8.6;;;;;;
16.03.2017 5:00;-6.1;718.3;765.5;;80;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;;;;;;;-9.1;;;;;;
16.03.2017 11:00;-2.3;723.0;769.8;;64;Ветер, дующий с северо-запада;10;;;100%.; ;;;;;;;;;;;-8.2;;;;;;
16.03.2017 17:00;-1.7;723.4;770.2;;59;Ветер, дующий с северо-запада;9;;;100%.; ;;;;;;;;;;;-8.8;;;;;;
16.03.2017 23:00;-5.0;726.6;774.1;;66;Ветер, дующий с северо-запада;7;;;100%.; ;;;;;;;;;;;-10.4;;;;;;
17.03.2017 5:00;-9.0;727.9;776.3;;71;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;;;;;;-13.3;;;;;;
17.03.2017 11:00;-6.1;729.9;777.9;;51;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;;;;;;-14.8;;;;;;
17.03.2017 17:00;-3.9;728.5;775.9;;37;Ветер, дующий с западо-северо-запада;4;;;20–30%.; ;;;;;;;;;;;-16.6;;;;;;
17.03.2017 23:00;-11.8;729.2;778.3;;67;Ветер, дующий с востоко-северо-востока;3;;;Облаков нет.; ;;;;;;;;;;;-16.7;;;;;;
18.03.2017 5:00;-18.0;729.2;779.4;;76;Ветер, дующий с востоко-северо-востока;2;;;40%.; ;;;;;;;;;;;-21.2;;;;;;
18.03.2017 11:00;-9.9;730.0;778.7;;53;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-17.8;;;;;;
18.03.2017 17:00;-1.7;727.9;775.0;;34;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;;-15.6;;;;;;
18.03.2017 23:00;-10.0;729.4;778.0;;45;Ветер, дующий с северо-востока;3;;;20–30%.; ;;;;;;;;;;;-19.7;;;;;;
19.03.2017 5:00;-17.2;730.2;780.3;;75;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;-20.6;;;;;;
19.03.2017 11:00;-7.5;730.5;778.8;;55;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-15.1;;;;;;
19.03.2017 17:00;02.мар;727.9;774.2;;24;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-16.3;;;;;;
19.03.2017 23:00;-6.0;728.4;776.2;;51;Ветер, дующий с юго-востока;3;;;Облаков нет.; ;;;;;;;;;;;-14.7;;;;;;
20.03.2017 5:00;-12.9;727.6;776.6;;84;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;-15.0;;;;;;
20.03.2017 11:00;-6.0;727.4;775.2;;57;Ветер, дующий с юга;2;;;Облаков нет.; ;;;;;;;;;;;-13.3;;;;;;
20.03.2017 17:00;01.май;725.2;771.5;;37;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-11.9;;;;;;
20.03.2017 23:00;-7.5;726.6;774.6;;68;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;-12.5;;;;;;
21.03.2017 5:00;-13.1;726.4;775.4;;89;Ветер, дующий с востока;1;;;20–30%.; ;;;;;;;;;;;-14.6;;;;;;
21.03.2017 11:00;-5.4;726.9;774.5;;58;Ветер, дующий с юга;1;;;100%.; ;;;;;;;;;;;-12.5;;;;;;
21.03.2017 17:00;02.апр;725.1;771.2;;35;Ветер, дующий с северо-востока;1;;;40%.; ;;;;;;;;;;;-11.8;;;;;;
21.03.2017 23:00;-5.0;725.3;772.8;;64;Ветер, дующий с юга;2;;;Облаков нет.; ;;;;;;;;;;;-10.9;;;;;;
22.03.2017 5:00;-11.3;725.3;774.0;;81;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;;-13.9;;;;;;
22.03.2017 11:00;-2.6;726.3;773.4;;55;Ветер, дующий с юга;3;;;100%.; ;;;;;;;;;;;-10.6;;;;;;
22.03.2017 17:00;01.янв;725.8;772.1;;46;Ветер, дующий с северо-северо-востока;3;;;100%.; ;;;;;;;;;;;-9.4;;;;;;
22.03.2017 23:00;-4.4;727.7;775.2;;71;Штиль, безветрие;0;;;100%.; ;;;;;;;;;;;-9.0;;;;;;
23.03.2017 5:00;-7.0;728.3;776.3;;84;Ветер, дующий с востока;1;;;100%.; ;;;;;;;;;;;-9.3;;;;;;
23.03.2017 11:00;-1.5;729.7;776.8;;60;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;;;;;;;;;-8.4;;;;;;
23.03.2017 17:00;3.0;728.5;774.7;;44;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;;;;;;-8.2;;;;;;
23.03.2017 23:00;-3.2;729.6;777.0;;62;Ветер, дующий с юга;1;;;100%.; ;;;;;;;;;;;-9.5;;;;;;
24.03.2017 5:00;-6.5;729.6;777.6;;83;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;;;;;;;-9.0;;;;;;
24.03.2017 11:00;0.7;730.3;777.0;;53;Ветер, дующий с запада;2;;;70 – 80%.; ;;;;;;;;;;;-8.0;;;;;;
24.03.2017 17:00;5.0;727.6;773.4;;32;Ветер, дующий с северо-северо-запада;4;;;100%.; ;;;;;;;;;;;-10.3;;;;;;
24.03.2017 23:00;-1.1;727.2;774.1;;52;Штиль, безветрие;0;;;100%.; ;;;;;;;;;;;-9.8;;;;;;
25.03.2017 5:00;-4.6;726.7;774.2;;82;Ветер, дующий с востока;2;;;100%.; ;;;;;;;;;;;-7.3;;;;;;
25.03.2017 11:00;01.май;726.7;773.0;;55;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;;;;;;;-6.6;;;;;;
25.03.2017 17:00;06.авг;723.1;768.3;;29;Ветер, дующий с востока;3;;;100%.; ;;;;;;;;;;;-10.2;;;;;;
25.03.2017 23:00;-1.4;721.5;768.1;;46;Ветер, дующий с востока;2;;;60%.; ;;;;;;;;;;;-11.7;;;;;;
26.03.2017 5:00;-1.8;719.3;765.8;;45;Ветер, дующий с востока;2;;;60%.; ;;;;;;;;;;;-12.4;;;;;;
26.03.2017 11:00;02.июл;720.1;765.8;;38;Ветер, дующий с юго-юго-востока;3;;;10%  или менее, но не 0; ;;;;;;;;;;;-10.2;;;;;;
26.03.2017 17:00;7.0;719.0;763.9;;48;Ветер, дующий с юга;4;;;40%.; ;;;;;;;;;;;-3.3;;;;;;
26.03.2017 23:00;-2.3;721.0;767.6;;70;Ветер, дующий с юга;3;;;100%.; ;;;;;;;;;;;-7.0;;;;;;
27.03.2017 5:00;-2.3;722.0;768.7;;82;Штиль, безветрие;0;;;100%.; ;;;;;;;;;;;-5.0;;;;;;
27.03.2017 11:00;04.апр;722.4;767.9;;54;Ветер, дующий с юга;2;;;100%.; ;;;;;;20–30%.;;;;;-4.1;;;;;;
27.03.2017 17:00;09.апр;718.0;762.5;;37;Ветер, дующий с востоко-северо-востока;3;;;40%.; ;;;;;;;;;;;-4.7;;;;;;
27.03.2017 23:00;0.8;718.0;763.9;;63;Ветер, дующий с востока;2;;;20–30%.; ;;;;;;;;;;;-5.6;;;;;;
28.03.2017 5:00;-4.3;718.4;765.3;;84;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;;;;;;;-6.6;;;;;;
28.03.2017 11:00;3.0;720.8;766.5;;58;Ветер, дующий с запада;3;;;100%.; ;;;;;;;;;;;-4.6;;;;;;
28.03.2017 17:00;07.сен;721.6;766.6;;36;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;;;;;;-6.3;;;;;;
28.03.2017 23:00;0.3;723.9;770.2;;68;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;;;;;;;-4.9;;;;;;
29.03.2017 5:00;-3.9;725.1;772.3;;85;Ветер, дующий с востока;2;;;60%.; ;;;;;;;;;;;-6.1;;;;;;
29.03.2017 11:00;06.янв;726.1;771.7;;60;Ветер, дующий с юго-юго-востока;2;;;50%.; ;;;;;;;;;;;-1.2;;;;;;
29.03.2017 17:00;09.авг;724.7;769.5;;38;Ветер, дующий с юга;4;;;50%.; ;;;;;;;;;;;-3.9;;;;;;
29.03.2017 23:00;0.8;725.0;771.4;;70;Ветер, дующий с юга;4;;;50%.; ;;;;;;;;;;;-4.1;;;;;;
30.03.2017 5:00;-2.9;723.8;770.8;;73;Ветер, дующий с юго-востока;4;;;50%.; ;;;;;;;;;;;-7.1;;;;;;
30.03.2017 11:00;05.авг;724.0;769.5;;42;Ветер, дующий с юго-юго-востока;5;;;Облаков нет.; ;;;;;;;;;;;-6.1;;;;;;
30.03.2017 17:00;10.апр;721.9;766.4;;32;Ветер, дующий с юга;5;;;20–30%.; ;;;;;;;;;;;-5.8;;;;;;
30.03.2017 23:00;0.1;721.4;767.7;;56;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;;;;;;;-7.7;;;;;;
31.03.2017 5:00;-0.3;718.4;764.5;;54;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;;;;;;;;;-8.5;;;;;;
31.03.2017 11:00;09.янв;717.4;761.9;;32;Ветер, дующий с юго-юго-востока;7;;;100%.; ;;;;;;;;;;;-6.9;;;;;;
31.03.2017 17:00;08.сен;717.0;761.5;;47;Ветер, дующий с юга;4;;;100%.; ;;;;;;;;;;;-1.8;;;;;;
31.03.2017 23:00;01.авг;720.8;766.7;;67;Ветер, дующий с юга;2;;;100%.; ;;;;;;;;;;;-3.7;;;;;;
01.04.2017 5:00;0.3;723.6;769.9;;82;Ветер, дующий с юга;1;;;100%.; ;;;;;;;;;;;-2.5;;;;;;
01.04.2017 11:00;08.май;723.6;768.5;;49;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;;;;;;;-1.7;;;;;;
01.04.2017 17:00;15.сен;718.3;761.8;;26;Ветер, дующий с юго-юго-востока;5;;;100%.; ;;;;;;;;;;;-3.6;;;;;;
01.04.2017 23:00;04.мар;715.6;760.7;;54;Ветер, дующий с юга;4;;;100%.; ;;;;;;;;;;;-4.4;;;;;;
02.04.2017 5:00;05.мар;711.9;756.7;;47;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;;;;;;;;;-5.3;;;;;;
02.04.2017 11:00;17.фев;710.2;753.1;;20;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;;;;;;;;;-5.9;;;;;;
02.04.2017 17:00;11.0;714.6;758.5;;44;Ветер, дующий с северо-запада;8;;;100%.; ;;;;;;;;;;;-1.0;;;;;;
02.04.2017 23:00;01.янв;716.7;762.4;;53;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;;;;;;;-7.6;;;;;;
03.04.2017 5:00;0.7;716.7;762.5;;61;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;;;;;;;-6.0;;;;;;
03.04.2017 11:00;0.3;718.7;764.8;;82;Ветер, дующий с северо-запада;6;;;100%.; ;;;;;;50%.;;;;;-2.4;;;;;;
04.04.2017 23:00;-4.0;717.1;763.9;;93;Ветер, дующий с востока;2;;;100%.; ;;;;;;;;;;;-5.0;;;;;;
05.04.2017 5:00;-9.2;716.4;764.0;;91;Ветер, дующий с востока;3;;;100%.; ;;;;;;;;;;;-10.4;;;;;;
05.04.2017 11:00;-1.6;717.2;763.5;;61;Ветер, дующий с юго-юго-востока;3;;;60%.; ;;;;;;;;;;;-8.2;;;;;;
05.04.2017 17:00;05.сен;715.0;759.8;;35;Ветер, дующий с востока;3;;;70 – 80%.; ;;;;;;;;;;;-8.5;;;;;;
05.04.2017 23:00;-1.4;714.1;760.2;;57;Ветер, дующий с востоко-юго-востока;2;;;50%.; ;;;;;;;;;;;-8.9;;;;;;
06.04.2017 5:00;-3.4;713.8;760.2;;76;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;;;;;;-7.0;;;;;;
06.04.2017 11:00;02.июл;716.6;762.1;;70;Ветер, дующий с запада;2;;;100%.; ;;;;;;50%.;;;;;-2.2;;;;;;
06.04.2017 17:00;07.янв;713.9;758.5;;42;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;;20–30%.;;;;;-5.2;;;;;;
06.04.2017 23:00;0.9;714.7;760.4;;69;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;;;;;;;-4.2;;;;;;
07.04.2017 5:00;-3.0;720.7;767.5;;58;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;;;;;;;-10.1;;;;;;
07.04.2017 11:00;02.фев;722.7;768.7;;31;Ветер, дующий с юго-юго-востока;4;;;50%.; ;;;;;;;;;;;-13.4;;;;;;
07.04.2017 17:00;07.фев;719.8;764.7;;25;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;;;;;;;-11.5;;;;;;
07.04.2017 23:00;-0.2;721.2;767.5;;50;Ветер, дующий с юго-юго-востока;2;;;60%.; ;;;;;;;;;;;-9.4;;;;;;
08.04.2017 5:00;-3.6;720.1;766.9;;62;Ветер, дующий с юго-востока;1;;;50%.; ;;;;;;;;;;;-9.9;;;;;;
08.04.2017 11:00;07.мар;721.6;766.6;;37;Ветер, дующий с западо-юго-запада;2;;;100%.; ;;;;;;;;;;;-6.7;;;;;;
08.04.2017 17:00;13.0;718.2;762.1;;23;Ветер, дующий с юго-юго-востока;3;;;Облаков нет.; ;;;;;;;;;;;-7.6;;;;;;
08.04.2017 23:00;03.июл;717.2;762.6;;43;Ветер, дующий с юго-юго-востока;3;;;50%.; ;;;;;;;;;;;-7.8;;;;;;
09.04.2017 5:00;-1.9;717.4;763.8;;73;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;;;;;;;-6.1;;;;;;
09.04.2017 11:00;08.сен;718.0;762.5;;47;Ветер, дующий с северо-северо-запада;4;;;100%.; ;;;;;;;;;;;-1.8;;;;;;
09.04.2017 23:00;-1.0;722.7;769.2;;77;Ветер, дующий с западо-северо-запада;7;;;100%.; ;;;;;;40%.;;;;;-4.5;;;;;;
10.04.2017 5:00;-4.2;725.3;772.6;;50;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;;;;;;-13.3;;;;;;
10.04.2017 11:00;-1.0;726.7;773.5;;38;Ветер, дующий с западо-северо-запада;8;;;50%.; ;;;;;;20–30%.;;;;;-13.7;;;;;;
10.04.2017 17:00;01.фев;724.3;770.5;;25;Ветер, дующий с северо-запада;6;;;100%.; ;;;;;;;;;;;-16.7;;;;;;
