Местное время в Иркутске (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
08.02.2017 17:00;-10.8;731.2;780.1;;54;Ветер, дующий с юго-юго-востока;5;;;Облаков нет.; ;;;;;;;;;;;-18.4;;;;;;
08.02.2017 23:00;-18.3;730.9;781.3;;80;Ветер, дующий с юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;-20.9;;;;;;
09.02.2017 5:00;-18.3;729.7;779.9;;78;Ветер, дующий с юго-востока;4;;;50%.; ;;;;;;;;;;;-21.2;;;;;;
09.02.2017 11:00;-15.2;729.2;778.9;;65;Ветер, дующий с юго-юго-востока;5;;;Облаков нет.; ;;;;;;;;;;;-20.4;;;;;;
09.02.2017 17:00;-11.6;727.0;775.9;;56;Ветер, дующий с юго-юго-востока;5;;;20–30%.; ;;;;;;;;;;;-18.7;;;;;;
09.02.2017 23:00;-16.5;726.1;775.8;;71;Ветер, дующий с юго-востока;3;;;20–30%.; ;;;;;;;;;;;-20.6;;;;;;
10.02.2017 5:00;-16.2;724.3;773.8;;68;Ветер, дующий с юго-юго-востока;6;;;Облаков нет.; ;;;;;;;;;;;-20.7;;;;;;
10.02.2017 11:00;-14.2;723.4;772.4;;63;Ветер, дующий с юго-юго-востока;6;;;100%.; ;;;;;;;;;;;-19.7;;;;;;
10.02.2017 17:00;-10.6;721.4;769.6;;57;Ветер, дующий с юго-юго-востока;6;;;100%.; ;;;;;;;;;;;-17.6;;;;;;
10.02.2017 23:00;-18.3;721.7;771.4;;82;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;;;;;;;-20.7;;;;;;
11.02.2017 5:00;-20.4;721.9;772.0;;74;Ветер, дующий с востока;2;;;100%.; ;;;;;;;;;;;-23.8;;;;;;
11.02.2017 11:00;-16.9;722.3;771.8;;66;Ветер, дующий с востока;2;;;40%.; ;;;;;;;;;;;-21.8;;;;;;
11.02.2017 17:00;-8.1;722.5;770.4;;58;Ветер, дующий с юго-запада;2;;;40%.; ;;;;;;;;;;;-15.0;;;;;;
11.02.2017 23:00;-16.7;724.7;774.3;;75;Ветер, дующий с юга;2;;;40%.; ;;;;;;;;;;;-20.2;;;;;;
12.02.2017 5:00;-20.5;725.5;776.0;;86;Ветер, дующий с востока;2;;;40%.; ;;;;;;;;;;;-22.3;;;;;;
12.02.2017 11:00;-19.1;726.7;776.9;;78;Ветер, дующий с юго-юго-запада;1;;;40%.; ;;;;;;;;;;;-22.0;;;;;;
12.02.2017 17:00;-10.0;725.8;774.3;;68;Ветер, дующий с запада;2;;;100%.; ;;;;;;;;;;;-14.9;;;;;;
12.02.2017 23:00;-13.0;727.6;776.7;;77;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;;;;;;;-16.2;;;;;;
13.02.2017 5:00;-19.1;726.3;776.5;;83;Ветер, дующий с востока;2;;;100%.; ;;;;;;;;;;;-21.3;;;;;;
13.02.2017 17:00;-9.7;727.9;776.5;;71;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;;50%.;;;;;-14.0;;;;;;
13.02.2017 23:00;-12.9;728.2;777.3;;87;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;;20–30%.;;;;;-14.6;;;;;;
14.02.2017 5:00;-16.9;727.3;777.1;;85;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;;50%.;;;;;-18.9;;;;;;
14.02.2017 11:00;-15.7;727.2;776.8;;85;Штиль, безветрие;0;;;100%.; ;;;;;;40%.;;;;;-17.7;;;;;;
15.02.2017 5:00;-17.9;725.8;775.7;;84;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;;;;20–30%.;;;;;-19.9;;;;;;
15.02.2017 11:00;-19.0;727.8;778.1;;82;Ветер, дующий с запада;2;;;100%.; ;;;;;;50%.;;;;;-21.3;;;;;;
15.02.2017 17:00;-13.7;728.8;778.1;;69;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;20–30%.;;;;;-18.3;;;;;;
15.02.2017 23:00;-19.4;730.3;780.9;;84;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;;40%.;;;;;-21.5;;;;;;
16.02.2017 5:00;-25.3;730.9;782.8;;78;Ветер, дующий с востока;2;;;100%.; ;;;;;;;;;;;-28.0;;;;;;
16.02.2017 11:00;-23.7;731.5;783.0;;79;Штиль, безветрие;0;;;50%.; ;;;;;;;;;;;-26.4;;;;;;
16.02.2017 17:00;-10.3;728.4;777.1;;50;Ветер, дующий с востока;3;;;50%.; ;;;;;;;;;;;-18.8;;;;;;
16.02.2017 23:00;-18.9;726.2;776.4;;85;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;;;;;;;-20.8;;;;;;
17.02.2017 5:00;-24.6;724.0;775.2;;80;Ветер, дующий с востока;2;;;50%.; ;;;;;;;;;;;-27.1;;;;;;
17.02.2017 11:00;-21.3;723.4;773.9;;79;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;;;;;;;;-24.0;;;;;;
17.02.2017 17:00;-9.0;720.5;768.4;;46;Ветер, дующий с юго-юго-востока;4;;;20–30%.; ;;;;;;;;;;;-18.5;;;;;;
17.02.2017 23:00;-16.4;715.4;764.4;;68;Ветер, дующий с юга;3;;;100%.; ;;;;;;;;;;;-20.9;;;;;;
18.02.2017 5:00;-14.7;708.7;757.0;;64;Ветер, дующий с юго-юго-востока;5;;;100%.; ;;;;;;;;;;;-20.0;;;;;;
18.02.2017 23:00;-11.7;722.3;770.8;;70;Ветер, дующий с северо-запада;8;;;100%.; ;;;;;;;;;;;-16.1;;;;;;
19.02.2017 5:00;-15.6;724.8;774.2;;79;Ветер, дующий с северо-северо-востока;2;;;50%.; ;;;;;;;;;;;-18.5;;;;;;
19.02.2017 11:00;-18.0;725.8;775.7;;82;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-20.3;;;;;;
19.02.2017 17:00;-4.6;722.8;770.0;;43;Ветер, дующий с юго-юго-востока;4;;;Облаков нет.; ;;;;;;;;;;;-15.3;;;;;;
19.02.2017 23:00;-12.5;720.8;769.4;;70;Ветер, дующий с востоко-юго-востока;3;;;Облаков нет.; ;;;;;;;;;;;-16.9;;;;;;
20.02.2017 5:00;-16.2;718.0;767.0;;72;Ветер, дующий с юга;5;;;50%.; ;;;;;;;;;;;-20.1;;;;;;
20.02.2017 11:00;-10.8;720.2;768.4;;63;Ветер, дующий с юга;2;;;100%.; ;;;;;;;;;;;-16.6;;;;;;
20.02.2017 17:00;-7.8;722.7;770.5;;59;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;;;;;;-14.6;;;;;;
20.02.2017 23:00;-15.5;723.8;773.1;;87;Ветер, дующий с востоко-северо-востока;3;;;100%.; ;;;;;;;;;;;-17.2;;;;;;
21.02.2017 5:00;-19.0;723.5;773.5;;86;Ветер, дующий с востоко-юго-востока;2;;;70 – 80%.; ;;;;;;;;;;;-20.8;;;;;;
21.02.2017 11:00;-13.8;723.7;772.8;;86;Ветер, дующий с востоко-юго-востока;2;;;50%.; ;;;;;;;;;;;-15.6;;;;;;
21.02.2017 17:00;-7.3;722.7;770.4;;66;Ветер, дующий с запада;2;;;100%.; ;;;;;;;;;;;-12.6;;;;;;
21.02.2017 23:00;-12.2;723.6;772.3;;77;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;;20–30%.;;;;;-15.4;;;;;;
22.02.2017 5:00;-18.3;722.8;772.6;;84;Ветер, дующий с востока;2;;;100%.; ;;;;;;;;;;;-20.4;;;;;;
22.02.2017 11:00;-13.5;722.2;771.1;;86;Ветер, дующий с востока;1;;;100%.; ;;;;;;;;;;;-15.3;;;;;;
22.02.2017 17:00;-0.2;721.2;767.5;;31;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;;;;;;;-15.6;;;;;;
22.02.2017 23:00;-4.3;721.9;769.0;;50;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;;50%.;;;;;-13.2;;;;;;
23.02.2017 5:00;-8.7;722.2;770.1;;67;Штиль, безветрие;0;;;100%.; ;;;;;;;;;;;-13.8;;;;;;
23.02.2017 11:00;-6.4;723.3;770.8;;62;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;;;;;;;-12.6;;;;;;
23.02.2017 17:00;1.0;722.6;768.8;;56;Ветер, дующий с западо-северо-запада;4;;;70 – 80%.; ;;;;;;;;;;;-7.0;;;;;;
23.02.2017 23:00;-2.5;723.2;770.0;;77;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;;50%.;;;;;-6.0;;;;;;
24.02.2017 17:00;01.мар;724.9;771.1;;73;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;;40%.;;;;;-3.1;;;;;;
24.02.2017 23:00;-5.3;724.8;772.3;;95;Ветер, дующий с юго-юго-востока;2;;;Небо не видно из-за тумана и/или других метеорологических явлений.; ;;;;;;;;;;;-6.0;;;;;;
25.02.2017 5:00;-10.1;722.7;770.9;;90;Ветер, дующий с востока;3;;;70 – 80%.; ;;;;;;;;;;;-11.4;;;;;;
