Местное время на Большом Ушканьем о.;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
21.02.2017 2:00;-16.1;727.0;;;85;Ветер, дующий с юго-востока;5;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
21.02.2017 8:00;-17.8;728.0;;;85;Ветер, дующий с юго-востока;3;;;60%.; ;;;-18.2;;;;;;;50.0;;;;;;;
21.02.2017 14:00;-11.7;727.0;;;80;Ветер, дующий с юго-востока;4;;;60%.; ;;;;;;;;;;50.0;;;;;;;
21.02.2017 20:00;-10.5;727.0;;;70;Ветер, дующий с юга;2;;;100%.; ;;;;-10.5;;;;;;;;;;;;;
22.02.2017 2:00;-16.5;728.0;;;90;Ветер, дующий с юго-востока;4;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
22.02.2017 8:00;-15.7;727.0;;;90;Ветер, дующий с юго-востока;2;;;100%.; ;;;-17.3;;;;;;;50.0;;;;;;;
22.02.2017 14:00;-11.4;727.0;;;75;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;;;;;;50.0;;;;;;;
22.02.2017 20:00;-11.9;726.0;;;80;Ветер, дующий с юго-востока;3;;;100%.; ;;;;-11.4;;;;;;;;;;;;;
23.02.2017 2:00;-10.3;724.0;;;80;Ветер, дующий с юго-востока;5;;;100%.; ;;;;;;;;;;;;;;;;;
23.02.2017 8:00;-6.6;724.0;;;86;Ветер, дующий с юго-востока;4;;;100%.; ;;;-12.1;;;;;;;50.0;;;;;;;
23.02.2017 14:00;-3.0;724.0;;;83;Ветер, дующий с юга;6;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
23.02.2017 20:00;-5.0;725.0;;;85;Ветер, дующий с юга;4;;;70 – 80%.; ;;;;-3.0;;;;;;;;;;;;;
24.02.2017 2:00;;724.0;;;;Ветер, дующий с юго-востока;5;;;100%.; ;;;;;;;;;;;;;;;;;
24.02.2017 8:00;-5.3;724.0;;;85;Ветер, дующий с востока;3;;;100%.; ;;;;;;;;;;50.0;;;;;;;
24.02.2017 14:00;-0.4;726.0;;;66;Ветер, дующий с запада;7;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;;;;;;
24.02.2017 20:00;-3.7;727.0;;;74;Ветер, дующий с севера;1;;;70 – 80%.; ;;;;-0.4;;;;;;;;;;;;;
25.02.2017 2:00;-8.1;727.0;;;81;Ветер, дующий с юга;2;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
25.02.2017 8:00;-5.9;726.0;;;81;Ветер, дующий с юго-востока;6;;;60%.; ;;;-8.7;;;;;;;50.0;;;;;;;
25.02.2017 14:00;-4.0;725.0;;;87;Ветер, дующий с юга;5;;;70 – 80%.; ;;;;;;;;;;50.0;;;;;;;
25.02.2017 20:00;-4.6;723.0;;;83;Ветер, дующий с запада;2;;;60%.; ;;;;-4.0;;;;;;;;;;;;;
26.02.2017 2:00;-7.3;721.0;;;93;Ветер, дующий с запада;1;;;90  или более, но не 100%; ;;;;;;;;;;;;;;;;;
26.02.2017 8:00;-7.0;721.0;;;96;Ветер, дующий с юга;8;;;100%.; ;;;-8.2;;;;;;;50.0;;;;;;;
26.02.2017 14:00;-2.0;721.0;;;77;Ветер, дующий с юга;5;;;90  или более, но не 100%; ;;;;;;;;;;50.0;;;;;;;
26.02.2017 20:00;-4.1;721.0;;;84;Ветер, дующий с юга;5;;;90  или более, но не 100%; ;;;;-2.0;;;;;;;;;;;;;
27.02.2017 2:00;-3.2;721.0;;;68;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;;;;;;;;;;;;;
27.02.2017 8:00;-7.4;723.0;;;55;Ветер, дующий с севера;11;;;20–30%.; ;;;-7.8;;;;;;;50.0;;;;;;;
27.02.2017 14:00;-8.7;726.0;;;59;Ветер, дующий с севера;7;;;60%.; ;;;;;;;;;;50.0;;;;;;;
27.02.2017 20:00;-11.5;728.0;;;60;Ветер, дующий с северо-востока;4;;;40%.; ;;;;-8.7;;;;;;;;;;;;;
28.02.2017 2:00;-16.5;730.0;;;60;Ветер, дующий с севера;3;;;40%.; ;;;;;;;;;;;;;;;;;
28.02.2017 8:00;-19.2;732.0;;;60;Ветер, дующий с севера;2;;;10%  или менее, но не 0; ;;;-19.3;;;;;;;50.0;;;;;;;
28.02.2017 14:00;-13.0;733.0;;;45;Ветер, дующий с северо-востока;4;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
28.02.2017 20:00;-18.2;733.0;;;75;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;-13.0;;;;;;;;;;;;;
01.03.2017 2:00;-17.7;731.0;;;70;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
01.03.2017 8:00;-16.0;727.0;;;70;Ветер, дующий с северо-востока;2;;;100%.; ;;;-18.5;;;;;;;10.0;;Следы осадков;;;;;
01.03.2017 14:00;-13.9;723.0;;;90;Ветер, дующий с севера;2;;;100%.; ;;;;;;;;;;10.0;;;;;;;
01.03.2017 20:00;;722.0;;;;Ветер, дующий с северо-востока;4;;;40%.; ;;;;-13.9;;;;;;;;1.0;;;;;
02.03.2017 2:00;;722.0;;;;Ветер, дующий с юго-запада;2;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
02.03.2017 8:00;-16.2;722.0;;;95;Ветер, дующий с юго-востока;3;;;10%  или менее, но не 0; ;;;-22.4;;;;;;;50.0;;;;;;;
02.03.2017 14:00;-10.0;722.0;;;80;Ветер, дующий с юго-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
02.03.2017 20:00;-15.3;722.0;;;85;Ветер, дующий с северо-востока;1;;;Облаков нет.; ;;;;-10.0;;;;;;;;;;;;;
03.03.2017 2:00;-15.4;723.0;;;90;Ветер, дующий с северо-востока;5;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
03.03.2017 8:00;-17.0;723.0;;;85;Ветер, дующий с северо-востока;3;;;70 – 80%.; ;;;-17.3;;;;;;;50.0;;;;;;;
03.03.2017 14:00;-13.5;724.0;;;75;Ветер, дующий с севера;3;;;100%.; ;;;;;;;;;;50.0;;;;;;;
03.03.2017 20:00;-13.7;726.0;;;80;;0;;;70 – 80%.; ;;;;-13.5;;;;;;;;Следы осадков;;;;;
04.03.2017 2:00;-14.9;727.0;;;85;Ветер, дующий с юго-востока;3;;;70 – 80%.; ;;;;;;;;;;;;;;;;;
04.03.2017 8:00;-12.5;728.0;;;95;Ветер, дующий с юго-востока;3;;;100%.; ;;;-15.6;;;;;;;50.0;;Следы осадков;;;;;
04.03.2017 14:00;-9.8;730.0;;;85;Ветер, дующий с севера;4;;;100%.; ;;;;;;;;;;50.0;;;;;;;
04.03.2017 20:00;-15.0;731.0;;;95;Ветер, дующий с северо-востока;1;;;70 – 80%.; ;;;;-9.8;;;;;;;;;;;;;
05.03.2017 2:00;;731.0;;;;;0;;;100%.; ;;;;;;;;;;;;;;;;;
05.03.2017 8:00;-13.7;730.0;;;95;Ветер, дующий с севера;2;;;100%.; ;;;;;;;;;;10.0;;0.4;;;;;
05.03.2017 14:00;-10.9;730.0;;;90;Ветер, дующий с севера;4;;;70 – 80%.; ;;;;;;;;;;10.0;;;;;;;
05.03.2017 20:00;-12.3;731.0;;;95;Ветер, дующий с северо-востока;3;;;20–30%.; ;;;;-10.9;;;;;;;;0.5;;;;;
06.03.2017 2:00;-12.7;;;;95;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
06.03.2017 8:00;;734.0;;;;Ветер, дующий с юго-востока;4;;;10%  или менее, но не 0; ;;;;;;;;;;50.0;;;;;;;
06.03.2017 14:00;-12.2;735.0;;;85;Ветер, дующий с юго-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
06.03.2017 20:00;-15.6;735.0;;;100;;0;;;Облаков нет.; ;;;;-12.2;;;;;;;;;;;;;
07.03.2017 2:00;;735.0;;;;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
07.03.2017 8:00;;736.0;;;;Ветер, дующий с юга;1;;;Облаков нет.; ;;;-22.6;;;;;;;50.0;;;;;;;
07.03.2017 14:00;-14.1;735.0;;;100;Ветер, дующий с юго-запада;2;;;40%.; ;;;;;;;;;;50.0;;;;;;;
07.03.2017 20:00;-14.4;733.0;;;90;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;-14.1;;;;;;;;;;;;;
08.03.2017 2:00;;731.0;;;;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
08.03.2017 8:00;;729.0;;;;Ветер, дующий с северо-востока;1;;;Облаков нет.; ;;;-23.7;;;;;;;50.0;;;;;;;
